Domain,Paragraph_ID,Source_Document_ID,Tuple_ID,ProbeID,Probe_Number,Probe_Type,Paragraph,Probe_Question,Gold_Label
Pubmed,P153P3,P153P3,P153P3_T2,P153P3_T2_1,1,relation_contradicted,"Although the mechanism underlying prostate cancer is not yet completely understood, multiple genes to help predict prostate cancer risk have been proposed by considerable researches. Brian R. Hu et al reported that AXIN2 expression could not only predict prostate cancer recurrence, but also promoted tumor growth and metastasis in vivo and vitro. Hao et al found that XPO6 expression was elevated in prostate cancer and maybe a potential prognostic biomarker for prostate cancer recurrence. Additionally, some other targets from blood and or urine have been examined and identified, including KLK2-KLK3 SNP rs2735839, 17p12 SNP rs4054823 and Eotaxin-1. However, few of these profiles have been adopted in the clinic after radical prostatectomy to predict recurrent prostate cancer. Therefore, there is still a need for novel tumor biomarkers that can help improve prediction of prostate cancer recurrence upon clinical variables.",,Not Supported
Pubmed,P87P4,P87P4,P87P4_T1,P87P4_T1_3,3,condition_removed,"The NCWP is commonly divided into two pathways, the planar cell polarity (PCP), and the Wnt/Calcium pathway. Few studies have addressed the significance of NCWP in prostate cancer. Most attention has been focused on the role of the non-canonical ligand Wnt5a, a key activator of the NCWP. Wnt5a is generally found to be upregulated in prostate cancer, but results are inconsistent regarding its association with good or poor prognosis. Recently, a new NCWP involving Wnt5a and the receptor Frizzled2 (Fzd2) was discovered and shown to promote tumor progression and EMT in several cancer cell lines and a mouse xenograft model. In the same study, a Wnt5/Fzd2 based gene set was also shown to accurately predict metastasis and survival in a small cohort of patients with hepatocellular carcinoma. However, this study did not address the in vivo relevance of the NCWP in larger patient cohorts or in prostate cancer tissue.",,Not Enough Evidence
Pubmed,P55P4,P55P4,P55P4_T6,P55P4_T6_5,5,condition_contradicted,"In this respect, the rare variant c.251G>A (p.G84E) in the HOXB13 gene was reported to be associated with prostate cancer. Meta-analyses have estimated the increased prostate cancer risk from this mutation to be 4- to 5-fold and even higher among early onset prostate cancer patients and prostate cancer patients with a family history of prostate cancer. Moreover, fine-scale mapping at the HOXB gene cluster at 17q21‚Äì22 had identified a number of highly correlated common SNPs that were associated with prostate cancer risk and tagging the rare HOXB13 p.G84E variant. This not only further established the association between HOXB13 p.G84E and prostate cancer risk, but also provided evidence that genome-wide association study associations could actually be driven by rare variants. Interestingly, the HOXB13 gene encodes a transcription factor that plays an important regulatory role during embryonic development, but also in tumorigenesis. For example, HOXB13 was reported to regulate the transcription of androgen receptor target genes and together with HOXA9, HOXB13 is the most commonly deregulated gene in solid cancers. Moreover, HOXB13 was shown to preferentially bind a low-risk prostate cancer susceptibility allele located in an androgen receptor and FOXA1 binding site, thereby enhancing RFX6 expression and promoting metastasis. In breast cancer, HOXB13 gene expression is regulated by estrogen in an estrogen receptor dependent manner. Furthermore, a high HOXB13:IL17BR expression ratio was found to be a prognostic and predictive biomarker for estrogen receptor-positive breast cancer patients. The poor response to tamoxifen therapy that is predicted from high HOXB13 expression has been shown to be mediated by HOXB13 through the direct suppression of estrogen receptor, the induction of IL6 expression and mTOR pathway activation. Considering these observations, HOXB13 might also be a likely candidate for being a breast cancer susceptibility gene. So far, three studies have investigated this hypothesis but obtained contradictory results. In the study by Alanee et al., the HOXB13 p.G84E mutation was shown to confer an increased breast cancer risk, however, Akbari et al. could not replicate this association in a larger study. Laitinen et al. also found no association with breast cancer risk, but did observe a suggestive association in a particular high-risk subgroup. Importantly, all three studies only investigated the prostate cancer risk-associated variant p.G84E.",,Not Supported
Pubmed,P16P2,P16P2,P16P2_T4,P16P2_T4_3,3,condition_removed,"Numerous long noncoding RNAs (lncRNAs) have recently emerged as targets for clinical translation. We previously identified 121 novel, differentially expressed prostate cancer (PCa) lncRNAs, including SChLAP1, which is overexpressed in a subset of tumors and associated with more aggressive disease. We subsequently validated a novel RNA in situ hybridization (ISH) assay for detection of SChLAP1 in formalin-fixed, paraffin-embedded (FFPE) tissue and used this assay to demonstrate that high SChLAP1 expression independently predicts biochemical PCa recurrence (ie, prostate-specific antigen [PSA] relapse) after radical prostatectomy in patients with clinically localized PCa. Although biochemical recurrence almost universally precedes clinical disease recurrence, many PCa patients with biochemical recurrence do not develop lethal disease. Given the predictive value of SChLAP1 ISH for biochemical recurrence after radical prostatectomy, we sought to investigate whether high SChLAP1 expression on ISH is also associated with development of lethal PCa (PCa-specific mortality or distant metastases).",,Not Enough Evidence
Pubmed,P12PR1,P12,P12PR1_T4,P12PR1_T4_5,5,condition_contradicted,"MicroRNAs are important epigenetic regulators of protein expression by triggering degradation of target mRNAs and/or inhibiting their translation. Dysregulation of microRNA expression has been reported in several cancers, including prostate cancer (PC). We comprehensively characterized the proteomic footprint of a panel of 12 microRNAs that are potently suppressed in metastatic PC (SiM-miRNAs: miR-1, miR-133a, miR-133b, miR-135a, miR-143-3p, miR-145-3p, miR-205, miR-221-3p, miR-221-5p, miR-222-3p, miR-24-1-5p, and miR-31) using reverse-phase proteomic arrays. Re-expression of these SiM-miRNAs in PC cells suppressed cell proliferation and targeted key oncogenic pathways, including cell cycle, apoptosis, Akt/mammalian target of rapamycin signaling, metastasis and the androgen receptor (AR) axis. However, only 12%, at most, of these observed protein expression changes could be explained by predicted direct binding of miRNAs to corresponding mRNAs, suggesting that the majority of these proteomic effects result indirectly. AR and its steroid receptor coactivators (SRCs; SRC-1, -2 and -3) were recurrently affected by these SiM miRNAs. In agreement, we identified inverse correlations between expression of these SiM-miRNAs and early clinical recurrence, as well as with AR transcriptional activity in human PC tissues. We also identified robust induction of miR-135a by androgen and strong direct binding of AR to the miR-135a locus. As miR-135a potently suppresses AR expression, this results in a negative feedback loop that suppresses AR protein expression in an androgen-dependent manner, while de-repressing AR expression upon androgen deprivation. Our results demonstrate that epigenetic silencing of these SiM-miRNAs can result in increased AR axis activity and cell proliferation, thus contributing to disease progression. We further demonstrate that a negative feedback loop involving miR-135a can restore AR expression under androgen-deprivation conditions, thus contributing to the upregulation of AR protein expression in castration-resistant PC. Finally, our unbiased proteomic profiling demonstrates that the majority of actual protein expression changes induced by SiM-miRNAs cannot be explained based on predicted direct interactions.",,Not Supported
Pubmed,P36P7,P36P7,P36P7_T2,P36P7_T2_5,5,condition_contradicted,"The androgen receptor (AR) is a ligand-activated transcription factor that is central to the initiation and progression of prostate cancer. The importance of AR signalling is underscored by the clinical utility of castration in producing symptomatic relief and objective responses in men with advanced prostate cancer. During prostate development, AR activation is known to increase the expression of growth factors, transcription factors and signalling peptides that are involved in cell proliferation, resistance to apoptosis, invasion and migration, processes which are necessary for successful organogenesis and are subsequently exploited by cancer. The expression of AR has been demonstrated to increase with increasing tumour grade and stage, as do serum levels of prostate specific antigen (PSA), the product of the prototypical androgen responsive gene KLK3. In fact, the positive relationship between increasing serum PSA and increasing tumour stage and grade informs all aspects of its usage in the clinical management of prostate cancer patients. However, it has been recognised for some time that there exists a small cohort of patients with primary prostate cancer that remains localised to the prostate, in whom serum PSA does not accurately reflect the extent of their disease burden. These ‚Äòlow-secreting‚Äô tumours are reported to have a worse prognosis compared to grade- and stage-matched controls. This is supported by a number of studies indicating that the incidence of prostate cancer, including high-grade tumours, is significant in patients with serum PSA levels within the quoted normal range.",,Not Supported
Pubmed,P19P2,P19P2,P19P2_T5,P19P2_T5_1,1,relation_contradicted,"The heterogeneous disease outcomes of newly diagnosed prostate cancer demand effective prognostic markers to separate aggressive from indolent disease. Genomic alterations, such as chromosome rearrangements that involve ETS transcription factor genes, deletions of PTEN and RB1, and gene amplifications of AR and MYC, are recognized as recurrent events in prostate cancer. The prognostic potential of these and other molecular alterations has yet to be established but could provide important information for guiding treatment recommendations. The most common gene rearrangement in prostate cancer, TMPRSS2:ERG fusion, was determined to be associated with adverse tumor behavior in several studies but not in others. PTEN deletion alone also correlates with more advanced disease at time of surgery and earlier biochemical recurrence (BcR) in several reports. The interaction among different genomic aberrations is also being explored. Reid et al found that PTEN deletion in the absence of ERG/ETV1 gene rearrangements correlated with worse cancer-specific survival.",,Not Supported
Pubmed,P35P6,P35P6,P35P6_T3,P35P6_T3_4,4,original_condition,"It is well known that sperm-associated antigen 5 (SPAG5) can bind to microtubules as a regulator of the timing of spindle organization and separation of sister chromatids. Previous studies indicated that SPAG5 was an important variable in mitosis and cell cycle checkpoint regulation. A previous study indicated that SPAG5 may act as a promoter in tumorigenesis and progression. Previous studies showed that SPAG5 overexpression can predict poor prognosis in lung cancer and cervical cancer and alter sensitivity to taxol treatment via the mTOR signaling pathway in cervical cancer. These results indicated that SPAG5 may act as an important oncogene that is involved in the formation and progression of malignancies and might influence the biological behaviors of malignancies. However, the molecular mechanism and role of SPAG5 in PCa development and progression have not yet been investigated.",,Supported
Pubmed,P19P2,P19P2,P19P2_T5,P19P2_T5_4,4,original_condition,"The heterogeneous disease outcomes of newly diagnosed prostate cancer demand effective prognostic markers to separate aggressive from indolent disease. Genomic alterations, such as chromosome rearrangements that involve ETS transcription factor genes, deletions of PTEN and RB1, and gene amplifications of AR and MYC, are recognized as recurrent events in prostate cancer. The prognostic potential of these and other molecular alterations has yet to be established but could provide important information for guiding treatment recommendations. The most common gene rearrangement in prostate cancer, TMPRSS2:ERG fusion, was determined to be associated with adverse tumor behavior in several studies but not in others. PTEN deletion alone also correlates with more advanced disease at time of surgery and earlier biochemical recurrence (BcR) in several reports. The interaction among different genomic aberrations is also being explored. Reid et al found that PTEN deletion in the absence of ERG/ETV1 gene rearrangements correlated with worse cancer-specific survival.",,Supported
Pubmed,P197P5,P197P5,P197P5_T4,P197P5_T4_4,4,original_condition,"To address these questions, we first examine the genomic CNA landscape of conservatively treated prostate cancer in more than a hundred diagnostic biopsy and resection specimens from a conservatively treated cohort; this cohort consisted of patients with localized prostate cancer who were not treated with surgery or radiation within six months of diagnosis. We demonstrate that tumor CNA burden is associated with cancer-specific death, independent of standard clinical predictors. To explore the prognostic significance of tumor CNA burden more broadly in other cancer types, we find that tumor CNA burden is also associated with disease-free and overall survival in TCGA cohorts of primary breast, endometrial, renal clear cell, thyroid, and colorectal cancer in addition to prostate cancer, with the degree of association varying in some cancer types. We then establish the clinical feasibility of measuring tumor CNA burden using the FDA-cleared MSK-IMPACT clinical next generation sequencing assay and confirm that tumor CNA burden is associated with overall and disease-specific survival in both primary and metastatic tumors across cancer types. In all, we demonstrate that tumor CNA burden is a prognostic factor associated with cancer recurrence and death in multiple cancer types, including in conservatively treated prostate cancer which would benefit from increased risk stratification.",,Supported
