Paragraph_id,split
P153P3,train
P55P4,train
P16P2,train
P36P7,train
P19P2,train
P72P6,train
P87P3,train
P179P2,train
P99P14,train
P104P2,train
P38P2,train
P57P9,train
P108P7,train
P35P4,train
P185P4,train
P159P7,train
P56P2,train
P179P4,train
P34P2,train
P17P11,train
P83P2,train
P59P3,train
P23P8,train
P121P5,train
P24P1,train
P66P1,train
P84P1,train
P194P3,train
P60P1,train
P12PR4,train
P48P4,train
P39P4,train
P168P1,train
P104P6,train
P61P1,train
P20P2,train
P13P6,train
P13P13,train
P77P1,train
P91P7,train
P39P9,train
P192P1,train
P184P14,train
P20P7,train
P86P19,train
P57P1,train
P70P12,train
P77P4,train
P37P7,train
P76P7,train
P106P10,train
P47P6,train
P24P3,train
P72P10,train
P86P3,train
P59P1,train
P163P9,train
P77P5,train
P115P10,train
P127P15,train
P81P1,train
P121P1,train
P77P9,train
P157P3,train
P57P10,train
P190P3,train
P35P3,train
P90P13,train
P124P8,train
P83P4,train
P172P4,train
P118P14,train
P145P5,train
P20P4,train
P186P5,train
P118P17,train
P195P6,train
P58P1,train
P104P4,train
P114P2,train
P27P3,train
P139P6,train
P83P3,train
P88P10,train
P197P1,train
P154P1,train
P87P15,train
P18P5,train
P69P1,train
P52P1,train
P62P1,train
P111P8,train
P72P11,train
P17P5,train
P30P4,train
P50P6,train
P46P2,train
P194P8,train
P87P22,train
P188P7,train
P139P7,train
P54P4,train
P35P5,train
P103P7,train
P12PR11,train
P127P1,train
P200P7,train
P160P6,train
P112P8,train
P183P6,train
P90P9,train
P194P4,train
P90P10,train
P33P4,train
P12PR3,train
P75P12,train
P82P10,train
P20P3,train
P27P1,train
P84P3,train
P186P4,train
P103P4,train
P190P8,train
P28P4,train
P112P9,train
P163P10,train
P133P1,train
P95P3,train
P177P6,train
P104P11,train
P28P7,train
P90P16,train
P118P16,train
P178P2,train
P74P9,train
P17P3,train
P29P9,train
P161P6,train
P163P11,train
P115P1,train
P157P2,train
P95P8,train
P36P3,train
P139P1,train
P13P4,train
P131P1,train
P161P4,train
P187P9,train
P33P2,train
P115P5,train
P40P7,train
P78P7,train
P45P2,train
P115P8,train
P151P6,train
P12PR6,train
P76P4,train
P104P7,train
P127P11,train
P38P3,train
P37P8,train
P149P4,train
P31P4,train
P99P15,train
P83P7,train
P11PR13,train
P178P4,train
P130P4,train
P103P10,train
P113P26,train
P87P10,train
P139P3,train
P29P10,train
P192P2,train
P58P3,train
P32P4,train
P104P1,train
P31P3,train
P73P10,train
P109P11,train
P41P5,train
P187P4,train
P76P11,train
P173P5,train
P95P10,train
P170P1,train
P59P5,train
P121P2,train
P46P4,train
P67P1,train
P169P9,train
P169P10,train
P124P13,train
P91P1,train
P66P5,train
P134P8,train
P58P4,train
P130P18,train
P54P6,train
P68P3,train
P23P6,train
P66P2,train
P57P4,train
P80P1,train
P143P4,train
P76P2,train
P185P1,train
P145P7,train
P87P1,train
P91P6,train
P13P15,train
P73P8,train
P76P5,train
P12PR9,train
P24P4,train
P48P3,train
P11PR3,train
P183P3,train
P184P13,train
P87P2,train
P81P12,train
P56P12,train
P124P14,train
P11PR11,train
P84P4,train
P102P2,train
P116P2,train
P153P1,train
P133P3,train
P61P2,train
P69P5,train
P147P6,train
P70P7,train
P128P8,train
P31P5,train
P39P6,train
P113P28,train
P70P6,train
P101P7,train
P15P3,train
P125P14,train
P73P4,train
P139P4,train
P154P18,train
P70P13,train
P74P2,train
P18P9,train
P102P10,train
P117P9,train
P25P4,train
P117P6,train
P156P4,train
P193P2,train
P102P5,train
P117P10,train
P86P4,train
P27P2,train
P74P4,train
P85P9,train
P88P17,train
P19P4,train
P117P7,train
P62P2,train
P72P3,train
P81P7,train
P173P1,train
P85P6,train
P124P3,train
P124P10,train
P185P5,train
P44P6,train
P116P9,train
P82P2,train
P56P4,train
P128P1,train
P172P3,train
P61P3,train
P108P11,train
P104P8,train
P75P2,train
P11PR7,train
P197P3,train
P22P5,train
P67P7,train
P54P3,train
P144P2,train
P74P8,train
P14P2,train
P94P4,train
P77P3,train
P36P4,train
P81P3,train
P194P5,train
P87P8,train
P72P1,train
P87P5,train
P185P3,train
P81P4,train
P177P8,train
P21P7,train
P71P4,train
P46P6,train
P113P25,train
P40P5,train
P189P7,train
P171P3,train
P70P3,train
P88P13,train
P154P16,train
P139P5,train
P14P7,train
P76P9,train
P183P5,train
P89P22,train
P127P5,train
P62P3,train
P118P12,train
P56P10,train
P78P1,train
P124P7,train
P59P2,train
P182P6,train
P33P1,train
P67P2,train
P45P8,train
P131P5,train
P130P10,train
P109P16,train
P57P3,train
P113P22,train
P62P5,train
P90P17,train
P182P1,train
P47P3,train
P191P2,train
P123P8,train
P197P6,train
P187P7,train
P17P4,train
P129P8,train
P94P5,train
P108P19,train
P55P2,train
P93P8,train
P41P3,train
P90P4,train
P47P8,train
P65P1,train
P60P3,train
P119P8,train
P76P10,train
P11PR9,train
P113P7,train
P40P2,train
P117P13,train
P22P7,train
P67P8,train
P81P9,train
P11PR8,train
P44P4,train
P100P13,train
P28P2,train
P76P13,train
P97P8,train
P122P7,train
P187P2,train
P185P2,train
P14P6,train
P69P3,train
P23P5,train
P99P8,train
P17P2,train
P117P8,train
P37P9,train
P100P7,train
P139P8,train
P90P5,train
P109P6,train
P189P8,train
P198P3,train
P161P5,train
P119P13,train
P21P9,train
P113P15,train
P174P9,train
P75P8,train
P106P5,train
P188P2,train
P35P1,train
P63P8,train
P28P1,train
P128P6,train
P87P21,train
P49P2,train
P86P7,train
P105P8,train
P88P14,train
P11PR2,train
P134P5,train
P103P5,train
P71P8,train
P113P4,train
P29P1,train
P65P4,train
P86P9,train
P18P1,train
P12PR1,test
P35P6,test
P197P5,test
P32P1,test
P118P5,test
P96P3,test
P70P11,test
P118P15,test
P103P1,test
P54P2,test
P72P7,test
P21P8,test
P156P1,test
P13P14,test
P190P5,test
P121P4,test
P72P8,test
P69P4,test
P32P8,test
P93P3,test
P91P10,test
P163P7,test
P22P8,test
P106P2,test
P148P5,test
P79P10,test
P21P10,test
P113P13,test
P139P9,test
P184P11,test
P86P22,test
P107P1,test
P98P8,test
P140P3,test
P127P6,test
P32P7,test
P186P3,test
P153P4,test
P38P6,test
P191P1,test
P157P4,test
P81P13,test
P123P3,test
P17P10,test
P83P10,test
P155P7,test
P98P7,test
P25P1,test
P103P6,test
P38P1,test
P79P8,test
P187P3,test
P72P9,test
P62P6,test
P83P8,test
P34P4,test
P173P6,test
P47P7,test
P65P2,test
P73P9,test
P45P6,test
P87P20,test
P127P4,test
P189P5,test
P77P6,test
P59P4,test
P22P6,test
P188P6,test
P13P8,test
P198P7,test
P56P8,test
P193P4,test
P128P5,test
P116P1,test
P127P7,test
P41P7,test
P60P2,test
P32P5,test
P49P8,test
P31P2,test
P68P6,test
P57P8,test
P142P2,test
P118P11,test
P142P9,test
P76P8,test
P22P3,test
P47P4,test
P132P1,test
P65P8,test
P138P6,test
P200P12,test
P113P11,test
P79P3,test
P125P10,test
P58P5,test
P124P11,test
P161P1,test
P19P3,test
P74P1,test
P70P9,test
P32P6,test
P58P6,test
P46P3,test
P83P6,test
P105P1,test
P116P4,test
P188P1,test
P50P1,test
P50P2,test
P11PR1,test
P200P4,test
P181P5,test
P56P9,test
P81P6,test
P185P6,test
P130P6,test
P200P9,test
P35P9,test
P18P10,test
P179P3,test
P65P3,test
P83P1,test
P134P6,test
P163P13,test
P13P7,test
P27P4,test
P86P8,test
P15P1,test
P105P7,test
P84P5,test
P71P1,test
P81P11,test
P184P12,test
P102P3,test
P81P10,test
P13P3,test
P179P1,test
P78P8,test
P145P6,test
P121P6,test
P124P4,test
P183P8,test
P96P11,test
P78P2,test
P37P6,test
P190P2,test
P125P11,test
P20P6,test
P16P3,test
P196P5,test
P81P8,test
P11PR12,test
P167P7,test
P53P4,test
P22P11,test
P175P6,test
P41P2,test
P154P6,test
P165P10,test
P94P1,test
P32P2,test
P192P5,test
P111P9,test
P65P7,test
P167P6,test
P98P5,test
P50P3,test
P26P5,test
P45P9,test
P115P4,test
P17P6,test
P71P9,test
P30P5,test
P125P8,test
P81P5,test
P105P5,test
P128P2,test
P113P30,test
P75P1,test
P113P3,test
P38P5,test
P65P6,test
P90P12,test
P188P8,test
P75P9,test
P60P4,test
P24P2,test
P171P1,test
P171P2,test
P181P2,test
P90P7,test
P119P10,test
P186P1,test
P39P3,test
P84P9,test
P163P6,test
P76P12,test
P87P23,test
P96P13,test
P62P4,test
P73P2,test
P69P6,test
P127P3,test
P87P4,val
P85P7,val
P68P4,val
P71P7,val
P158P3,val
P190P7,val
P87P11,val
P61P4,val
P140P1,val
P177P7,val
P74P10,val
P70P8,val
P90P3,val
P57P7,val
P198P6,val
P93P1,val
P135P7,val
P196P7,val
P173P3,val
P175P3,val
P56P11,val
P117P1,val
P12PR8,val
P72P12,val
P102P1,val
P70P4,val
P86P5,val
P66P4,val
P138P7,val
P38P7,val
P45P10,val
P196P3,val
P125P2,val
P127P10,val
P54P1,val
P182P9,val
P40P8,val
P54P5,val
P94P3,val
P96P14,val
P26P3,val
P123P7,val
P113P16,val
P37P5,val
P91P14,val
P79P5,val
P90P1,val
P123P6,val
P124P12,val
P101P11,val
P15P4,val
P55P3,val
P100P1,val
P172P5,val
P193P5,val
P30P3,val
P28P3,val
P113P1,val
P67P4,val
P93P7,val
P165P6,val
P44P7,val
P85P8,val
P153P2,val
P87P26,val
P116P3,val
P88P18,val
P113P14,val
