Paragraph_ID,Split
P0001,train
P0006,train
P0007,train
P0010,train
P0011,train
P0015,train
P0016,train
P0017,train
P0021,train
P0022,train
P0023,train
P0026,train
P0027,train
P0032,train
P0034,train
P0035,train
P0036,train
P0037,train
P0038,train
P0039,train
P0042,train
P0043,train
P0044,train
P0047,train
P0048,train
P0049,train
P0050,train
P0052,train
P0053,train
P0055,train
P0056,train
P0057,train
P0058,train
P0060,train
P0061,train
P0062,train
P0063,train
P0064,train
P0065,train
P0066,train
P0068,train
P0070,train
P0071,train
P0072,train
P0073,train
P0074,train
P0076,train
P0077,train
P0078,train
P0080,train
P0081,train
P0082,train
P0084,train
P0088,train
P0091,train
P0093,train
P0094,train
P0095,train
P0096,train
P0099,train
P0100,train
P0101,train
P0104,train
P0105,train
P0106,train
P0107,train
P0109,train
P0111,train
P0112,train
P0113,train
P0115,train
P0116,train
P0117,train
P0119,train
P0120,train
P0121,train
P0122,train
P0125,train
P0126,train
P0128,train
P0129,train
P0131,train
P0132,train
P0135,train
P0136,train
P0137,train
P0139,train
P0140,train
P0141,train
P0144,train
P0145,train
P0146,train
P0150,train
P0152,train
P0155,train
P0156,train
P0157,train
P0158,train
P0159,train
P0160,train
P0163,train
P0164,train
P0167,train
P0168,train
P0169,train
P0170,train
P0172,train
P0175,train
P0176,train
P0177,train
P0179,train
P0180,train
P0182,train
P0184,train
P0186,train
P0187,train
P0188,train
P0193,train
P0194,train
P0197,train
P0199,train
P0202,train
P0210,train
P0211,train
P0212,train
P0213,train
P0215,train
P0216,train
P0217,train
P0218,train
P0219,train
P0223,train
P0224,train
P0226,train
P0227,train
P0228,train
P0229,train
P0230,train
P0231,train
P0232,train
P0236,train
P0238,train
P0239,train
P0240,train
P0241,train
P0242,train
P0243,train
P0245,train
P0247,train
P0248,train
P0249,train
P0252,train
P0254,train
P0255,train
P0256,train
P0258,train
P0262,train
P0263,train
P0264,train
P0267,train
P0268,train
P0271,train
P0272,train
P0273,train
P0274,train
P0275,train
P0284,train
P0285,train
P0286,train
P0287,train
P0288,train
P0289,train
P0290,train
P0291,train
P0292,train
P0293,train
P0294,train
P0295,train
P0296,train
P0298,train
P0299,train
P0300,train
P0301,train
P0302,train
P0303,train
P0304,train
P0306,train
P0307,train
P0309,train
P0313,train
P0314,train
P0317,train
P0318,train
P0319,train
P0321,train
P0325,train
P0326,train
P0327,train
P0328,train
P0331,train
P0332,train
P0333,train
P0336,train
P0338,train
P0340,train
P0341,train
P0342,train
P0344,train
P0345,train
P0346,train
P0347,train
P0348,train
P0350,train
P0351,train
P0352,train
P0353,train
P0355,train
P0356,train
P0357,train
P0358,train
P0359,train
P0360,train
P0362,train
P0363,train
P0365,train
P0366,train
P0367,train
P0370,train
P0371,train
P0373,train
P0374,train
P0375,train
P0376,train
P0378,train
P0381,train
P0382,train
P0383,train
P0384,train
P0385,train
P0386,train
P0388,train
P0390,train
P0391,train
P0392,train
P0393,train
P0394,train
P0396,train
P0397,train
P0398,train
P0400,train
P0402,train
P0403,train
P0404,train
P0405,train
P0406,train
P0407,train
P0408,train
P0410,train
P0411,train
P0412,train
P0414,train
P0416,train
P0418,train
P0419,train
P0420,train
P0421,train
P0422,train
P0423,train
P0426,train
P0427,train
P0428,train
P0429,train
P0430,train
P0435,train
P0437,train
P0439,train
P0441,train
P0445,train
P0446,train
P0449,train
P0451,train
P0452,train
P0454,train
P0455,train
P0456,train
P0458,train
P0461,train
P0462,train
P0463,train
P0466,train
P0467,train
P0468,train
P0469,train
P0472,train
P0473,train
P0475,train
P0476,train
P0478,train
P0479,train
P0482,train
P0485,train
P0489,train
P0490,train
P0491,train
P0492,train
P0495,train
P0496,train
P0497,train
P0499,train
P0500,train
P0501,train
P0502,train
P0505,train
P0506,train
P0508,train
P0511,train
P0512,train
P0513,train
P0514,train
P0515,train
P0516,train
P0519,train
P0521,train
P0523,train
P0525,train
P0526,train
P0531,train
P0533,train
P0534,train
P0536,train
P0538,train
P0541,train
P0543,train
P0544,train
P0545,train
P0546,train
P0547,train
P0548,train
P0549,train
P0550,train
P0553,train
P0554,train
P0555,train
P0557,train
P0558,train
P0559,train
P0561,train
P0562,train
P0563,train
P0566,train
P0571,train
P0572,train
P0574,train
P0576,train
P0578,train
P0579,train
P0580,train
P0581,train
P0582,train
P0583,train
P0584,train
P0586,train
P0591,train
P0592,train
P0593,train
P0594,train
P0595,train
P0597,train
P0599,train
P0600,train
P0602,train
P0605,train
P0606,train
P0607,train
P0608,train
P0609,train
P0614,train
P0615,train
P0616,train
P0617,train
P0620,train
P0623,train
P0625,train
P0627,train
P0628,train
P0629,train
P0630,train
P0632,train
P0635,train
P0639,train
P0640,train
P0645,train
P0646,train
P0647,train
P0650,train
P0651,train
P0652,train
P0654,train
P0655,train
P0656,train
P0660,train
P0661,train
P0663,train
P0664,train
P0665,train
P0667,train
P0668,train
P0670,train
P0671,train
P0672,train
P0675,train
P0676,train
P0678,train
P0679,train
P0681,train
P0682,train
P0684,train
P0686,train
P0689,train
P0690,train
P0691,train
P0692,train
P0693,train
P0695,train
P0696,train
P0697,train
P0701,train
P0702,train
P0705,train
P0706,train
P0707,train
P0708,train
P0709,train
P0710,train
P0712,train
P0713,train
P0714,train
P0717,train
P0719,train
P0720,train
P0722,train
P0723,train
P0724,train
P0726,train
P0728,train
P0729,train
P0730,train
P0732,train
P0735,train
P0737,train
P0739,train
P0740,train
P0741,train
P0742,train
P0745,train
P0746,train
P0749,train
P0752,train
P0753,train
P0754,train
P0756,train
P0758,train
P0759,train
P0760,train
P0761,train
P0763,train
P0764,train
P0765,train
P0766,train
P0768,train
P0769,train
P0772,train
P0773,train
P0774,train
P0775,train
P0776,train
P0777,train
P0778,train
P0779,train
P0780,train
P0781,train
P0783,train
P0784,train
P0787,train
P0788,train
P0789,train
P0792,train
P0794,train
P0795,train
P0796,train
P0800,train
P0802,train
P0803,train
P0807,train
P0808,train
P0811,train
P0812,train
P0817,train
P0818,train
P0819,train
P0823,train
P0825,train
P0826,train
P0827,train
P0828,train
P0831,train
P0832,train
P0833,train
P0834,train
P0836,train
P0837,train
P0838,train
P0839,train
P0841,train
P0842,train
P0844,train
P0845,train
P0846,train
P0847,train
P0849,train
P0850,train
P0851,train
P0853,train
P0855,train
P0859,train
P0860,train
P0864,train
P0866,train
P0867,train
P0869,train
P0871,train
P0873,train
P0876,train
P0877,train
P0878,train
P0879,train
P0880,train
P0881,train
P0883,train
P0886,train
P0888,train
P0890,train
P0891,train
P0893,train
P0894,train
P0896,train
P0897,train
P0898,train
P0899,train
P0901,train
P0906,train
P0908,train
P0909,train
P0910,train
P0911,train
P0914,train
P0917,train
P0919,train
P0921,train
P0923,train
P0924,train
P0926,train
P0927,train
P0929,train
P0930,train
P0931,train
P0932,train
P0933,train
P0934,train
P0936,train
P0939,train
P0940,train
P0942,train
P0943,train
P0947,train
P0948,train
P0949,train
P0950,train
P0952,train
P0953,train
P0955,train
P0956,train
P0958,train
P0961,train
P0962,train
P0964,train
P0968,train
P0970,train
P0971,train
P0972,train
P0978,train
P0979,train
P0981,train
P0982,train
P0983,train
P0986,train
P0988,train
P0989,train
P0991,train
P0992,train
P0993,train
P0995,train
P0997,train
P1000,train
P1001,train
P1002,train
P1004,train
P1005,train
P1006,train
P1007,train
P1008,train
P1011,train
P1012,train
P1014,train
P1017,train
P1018,train
P1019,train
P1020,train
P1021,train
P1022,train
P1023,train
P1024,train
P1025,train
P1026,train
P1027,train
P1028,train
P1030,train
P1033,train
P1034,train
P1039,train
P1041,train
P1042,train
P1043,train
P1044,train
P1045,train
P1046,train
P1047,train
P1055,train
P1057,train
P1059,train
P1064,train
P1065,train
P1067,train
P1068,train
P1072,train
P1074,train
P1075,train
P1076,train
P1079,train
P1083,train
P1085,train
P1086,train
P1088,train
P1091,train
P1092,train
P1093,train
P1094,train
P1095,train
P1096,train
P1097,train
P1098,train
P1100,train
P1101,train
P1103,train
P1106,train
P1107,train
P1108,train
P1110,train
P1111,train
P1112,train
P1113,train
P1115,train
P1116,train
P1118,train
P1123,train
P1125,train
P1126,train
P1129,train
P1130,train
P1131,train
P1133,train
P1134,train
P1136,train
P1139,train
P1140,train
P1141,train
P1142,train
P1143,train
P1144,train
P1145,train
P1147,train
P1148,train
P1150,train
P1151,train
P1153,train
P1154,train
P1155,train
P1156,train
P1157,train
P1158,train
P1159,train
P1160,train
P1161,train
P1162,train
P1163,train
P1164,train
P1165,train
P1167,train
P1168,train
P1170,train
P1171,train
P1173,train
P1174,train
P1175,train
P1176,train
P1177,train
P1179,train
P1181,train
P1183,train
P1186,train
P1192,train
P1194,train
P1198,train
P1200,train
P1202,train
P1205,train
P1206,train
P1207,train
P1208,train
P1210,train
P1212,train
P1214,train
P1217,train
P1218,train
P1219,train
P1220,train
P1221,train
P1223,train
P1228,train
P1230,train
P1232,train
P1233,train
P1236,train
P1238,train
P1239,train
P1240,train
P1241,train
P1242,train
P1244,train
P1245,train
P1248,train
P1249,train
P1250,train
P1251,train
P1252,train
P1253,train
P1256,train
P1258,train
P1259,train
P1261,train
P1263,train
P1264,train
P1265,train
P1267,train
P1268,train
P1272,train
P1273,train
P1274,train
P1275,train
P1279,train
P1280,train
P1281,train
P1283,train
P1285,train
P1286,train
P1287,train
P1288,train
P1294,train
P1295,train
P1296,train
P1297,train
P1298,train
P1300,train
P1302,train
P1304,train
P1305,train
P1306,train
P1307,train
P1309,train
P1313,train
P1315,train
P1317,train
P1318,train
P1320,train
P1321,train
P1322,train
P1323,train
P1325,train
P1326,train
P1331,train
P1333,train
P1334,train
P1335,train
P1336,train
P1337,train
P1338,train
P1339,train
P1340,train
P1344,train
P1345,train
P1347,train
P1349,train
P1351,train
P1353,train
P1354,train
P1355,train
P1356,train
P1359,train
P1362,train
P1363,train
