row_id,Paragraph_ID,Paragraph,Gold Annotation
0,P100P1,Approximately 4–25% of patients with early prostate cancer develop disease recurrence following radical prostatectomy.,"[{'e1': 'Approximately 4–25% of patients with early prostate cancer ', 'e2': 'disease recurrence ', 'relation': 'develop ', 'condition': 'following radical prostatectomy.'}]"
1,P100P13,"Consistent with the molecular subgroup representing metastatic biology, the assay was better at predicting metastatic recurrence rather than biochemical recurrence. The latter does not necessarily predict metastatic development; only one-third of patients with biochemical recurrence develop measurable metastatic disease 8 years after resection. In addition, the hazard ratio of 3.20 for metastatic recurrence compares favourably to the reported hazard ratios for other prognostic assays to predict metastatic disease, with hazard ratios ranging between 1.40 and 3.30. A significant feature of assay performance was independence from CAPRA-S, allowing the development of a combined risk model with superior performance to either CAPRA-S or the metastatic assay individually.","[{'e1': 'only one-third of patients with biochemical recurrence ', 'e2': 'measurable metastatic disease ', 'relation': 'develop ', 'condition': '8 years after resection'}]"
2,P100P7,The metastatic assay may improve the ability to detect patients at risk of metastatic recurrence following radical prostatectomy. The impact of adjuvant therapies should be assessed in this higher-risk population.,"[{'e1': 'The metastatic assay', 'e2': 'the ability to detect patients at risk of metastatic recurrence ', 'relation': ' may improve ', 'condition': 'following radical prostatectomy.'}]"
3,P101P11,"Our in silico functional analysis further identified a striking association of FAM13C positivity with multiple chromosomal deletions, particularly in ERG negative cancers. That these associations were markedly reduced in ERG positive cancers may be explained by the fact that the markedly higher FAM13C expression levels in ERG positive than in ERG negative cancers makes it more difficult to see further differences in expression under the selected experimental conditions. This was most obviously the case for PTEN but also seen for 5q and 6q. That FAM13C up regulation is linked to a higher prevalence of all these deletions suggests a possible impact of FAM13C on mechanisms regulating genomic integrity. In addition, the particularly strong and ERG-independent association with PTEN deletions argues for a functional interaction between both genes. PTEN is a multifunctional lipid phosphatase that negatively regulates the phosphatidylinositol-3 kinase/AKT growth pathway but is also involved in DNA repair. It is thus tempting to speculate that FAM13C might interact with PTEN deletion both in growth regulation and maintenance of genome stability. A joint role in growth control is supported by our observation that FAM13C overexpression was linked to increased cell proliferation even in PTEN deleted cancers. However, functional analyses are required to elucidate the role of FAM13C in PTEN deleted cancers.","[{'e1': 'FAM13C positivity ', 'e2': 'multiple chromosomal deletions', 'relation': ' strikingly associated with ', 'condition': 'particularly in ERG negative cancers'}, {'e1': ' FAM13C overexpression', 'e2': 'increased cell proliferation ', 'relation': ' was linked to ', 'condition': 'in PTEN deleted cancers'}]"
4,P101P7,"The prognostic impact of FAM13C expression was independent of established prognostic features, both in preoperative and in postoperative scenarios. This highlights the potential applicability of FAM13C measurement either alone or in combination with other factors for a better assessment of prostate cancer aggressiveness in clinical practice. However, given the ubiquitous nature of FAM13C expression, such a potential routine test will require a diagnostic threshold for FAM13C overexpression that needs to be defined. The Gleason Grade is the strongest established prognostic parameter in prostate cancer. Based on the large cohort of prostate cancers available at our institution, we had earlier shown that Gleason Grade information can also be used as a continuous rather than a categorical variable. Both in biopsies and in prostatectomy samples, prostate cancer prognosis continuously deteriorates with increasing percentage of unfavorable Gleason pattern found in a cancer. That FAM13C expression continuously increases with the percentage of Gleason 4 fractions in our patients further emphasizes the strong link of FAM13C expression with prostate cancer aggressiveness. The lack of an unequivocal prognostic impact of FAM13C expression in subgroups defined by a comparable quantitative Gleason grade also demonstrates how difficult it is even for very good biomarkers to surpass morphological parameters of malignancy.","[{'e1': 'The prognostic impact of FAM13C expression ', 'e2': 'established prognostic features', 'relation': 'was independent of ', 'condition': ' in preoperative scenarios'}, {'e1': 'The prognostic impact of FAM13C expression ', 'e2': 'established prognostic features', 'relation': 'was independent of ', 'condition': 'in postoperative scenarios'}]"
5,P102P1,"Our work is motivated by a prostate cancer study aimed at identifying mRNA and miRNA biomarkers that are predictive of cancer recurrence after prostatectomy. It has been shown in the literature that incorporating known biological information on pathway memberships and interactions among biomarkers improves feature selection of high-dimensional biomarkers in relation to disease risk. Biological information is often represented by graphs or networks, in which biomarkers are represented by nodes and interactions among them are represented by edges; however, biological information is often not fully known. For example, the role of microRNAs (miRNAs) in regulating gene expression is not fully understood and the miRNA regulatory network is not fully established, in which case new strategies are needed for feature selection. To this end, we treat unknown biological information as missing data, different from commonly encountered missing data problems where variable values are missing. We propose a new concept of imputing unknown biological information based on observed data and define the imputed information as the novel biological information. In addition, we propose a hierarchical group penalty to encourage sparsity and feature selection at both the pathway level and the within-pathway level, which, combined with the imputation step, allows for incorporation of known and novel biological information. While it is applicable to general regression settings, we develop and investigate the proposed approach in the context of semiparametric accelerated failure time models motivated by our data example. Data application and simulation studies show that incorporation of novel biological information improves performance in risk prediction and feature selection and the proposed penalty outperforms the extensions of several existing penalties.","[{'e1': 'mRNA and miRNA biomarkers ', 'e2': 'cancer recurrence ', 'relation': 'are predictive of ', 'condition': 'after prostatectomy'}]"
6,P102P10,"During the peer-review process, an anonymous reviewer brought to the authors’ attention another paper that addresses a similar problem. The present work was developed independently and differs in several important respects. First, the other approach does not allow for hierarchical feature selection. Second, it builds on a parametric accelerated failure time model with normal errors, which is less robust than the semiparametric accelerated failure time model used here. Third, while it uses gene pathway information for inferring the miRNA regulatory network, it incorporates only the miRNA regulatory network information in variable selection for the survival outcome model, whereas the present study uses both the gene pathway information and the miRNA regulatory network information in variable selection for the survival outcome model. Lastly, the present study formalizes the concept of imputing the component of the miRNA regulatory network that is not validated, whereas the other work does not make such a distinction between putative and validated miRNA targets.","[{'e1': 'the other approach', 'e2': 'only the miRNA regulatory network information ', 'relation': 'incorporates ', 'condition': 'in variable selection for the survival outcome model'}, {'e1': 'the present study ', 'e2': 'the gene pathway information ', 'relation': 'uses ', 'condition': 'in variable selection for the survival outcome model'}, {'e1': 'the present study ', 'e2': 'the miRNA regulatory network information ', 'relation': 'uses ', 'condition': 'in variable selection for the survival outcome model'}]"
7,P102P2,"In many biomedical studies, it is of great interest to conduct feature selection of high-dimensional data such as genomic biomarkers in relation to disease risk and prognosis while also incorporating biological information on pathway memberships and interactions among biomarkers, which has been shown in previous work to improve performance in feature selection and risk prediction. Biological information is often represented by graphs or networks, in which biomarkers are represented by nodes and interactions among them are represented by edges. However, interactions among the biomarkers of interest are often not fully known, in which case new strategies are needed to identify biomarkers that are predictive of disease risk and prognosis.","[{'e1': 'biological information on pathway memberships', 'e2': 'performance ', 'relation': 'has been shown to improve ', 'condition': 'in feature selection'}, {'e1': 'interactions among biomarkers', 'e2': 'performance ', 'relation': 'has been shown to improve ', 'condition': ' in risk prediction'}]"
8,P102P3,"Our work is motivated by a recent study of genomic biomarkers in relation to risk for prostate cancer recurrence after prostatectomy. One of the important challenges in current prostate cancer research is to develop effective methods such as biomarker assays to determine whether a patient is likely to progress to aggressive, metastatic disease or have cancer recurrence following a treatment such as surgery in order to aid clinicians in deciding on the appropriate course of treatment, for example whether immediate adjuvant therapy is warranted after prostatectomy. In particular, biomarker assays that could predict progression, metastasis and recurrence for prostate cancer patients would be of great utility in aiding clinical management of this large patient population. This study includes a training set of 73 patients and an independent testing set of 40 patients with each patient undergoing radical prostatectomy after a diagnosis of prostate cancer. RNA samples were isolated from formalin-fixed paraffin-embedded radical prostatectomy specimens that were obtained from these patients. Using these RNA samples, a customized cDNA-mediated Annealing, Selection, Extension and Ligation assay was conducted to measure expression profiles of 522 prostate cancer related genes that were selected from literature and the miRNA Expression Profiling Panel designed for the DASL assay was used to determine expression of 403 human miRNAs that were present on the miRNA microarrays used for both the training data and the testing data. Four clinical variables, prostate-specific antigen levels, histological grade, tumor stage and age, as well as the long-term clinical outcome on cancer recurrence were collected for all patients. The primary goal of this study is to identify mRNA and miRNA biomarkers that are predictive of prostate cancer recurrence after prostatectomy. Earlier analyses of the data used the l1-regularized Cox proportional hazards model and identified two prediction models, one using only mRNA biomarkers and the other using both mRNA and miRNA biomarkers, for prostate cancer recurrence, which did not incorporate biological information or conduct hierarchical feature selection.","[{'e1': 'mRNA and miRNA biomarkers ', 'e2': 'prostate cancer recurrence ', 'relation': 'are predictive of ', 'condition': 'after prostatectomy'}, {'e1': 'each patient ', 'e2': 'radical prostatectomy ', 'relation': 'undergoing ', 'condition': 'after a diagnosis of prostate cancer'}]"
9,P102P5,"Biomedical researchers have made enormous strides in discovering biological functions of genes, particularly for those involved in complex diseases such as cancer; in addition, genes have been shown to function through networks or pathways. Pathway analysis, including topology-based methods and integration analysis of multi-type data sources, has received substantial interest and played a vital role in the enrichment of underlying biological knowledge. In addition, major efforts have been made to structure and store the resulting biological information on pathways or networks in multiple public or commercial databases, including the Kyoto Encyclopedia of Genes and Genomes, Gene Ontology, BioCarta, and Cell Signaling Technology Pathway. Since such prior biological information sheds important insights on regulatory relationships between genes and gene products associated with the genesis or progression of disease, it is very valuable to incorporate such information into analysis of gene expression data in relation to disease risk. More recently, noncoding RNAs, functional transcripts that do not code for proteins, have been identified as important regulators of gene expression in many eukaryotes. Of all noncoding RNAs, microRNAs are the most widely studied and characterized, and it has been suggested that miRNAs regulate more than 30% of human genes. For example, miRNAs have been shown to downregulate gene expressions in various cancers, suggesting a role for miRNAs in tumorigenesis, and they can act as both tumor suppressor genes and oncogenes. Consequently, it has been recognized that combining information on miRNAs with other types of biomarkers may improve cancer risk assessment, detection, and prognosis. However, unlike the prior-knowledge pathways for protein-coding genes such as KEGG pathways that can be readily obtained from existing databases, the scope of miRNA roles in regulating gene expression is not fully understood and the complete picture of the miRNA regulatory network is still being established. Based on specific sequence and structural features, several algorithms have been developed to predict gene sequences that are potential regulatory targets of miRNAs. However, the vast majority of these predicted targets have not been experimentally validated and may be false positives. As a result, new strategies are needed to incorporate miRNAs and their regulatory network information in modeling cancer risk and prognosis.","[{'e1': 'noncoding RNAs', 'e2': ' important regulators of gene expression ', 'relation': 'have been identified as', 'condition': 'in many eukaryotes'}, {'e1': ' functional transcripts that do not code for proteins, ', 'e2': ' important regulators of gene expression ', 'relation': 'have been identified as', 'condition': 'in many eukaryotes'}, {'e1': 'miRNAs ', 'e2': 'gene expressions ', 'relation': 'have been shown to downregulate ', 'condition': 'in various cancers'}]"
